glass	position	made	invent	particular	my
76	45.42606594674169	card	wood	-37.50301132925249	foot
-90	66.1014932603257	duck	is	-65.60266545694373	magnet
34	-44.593569331871066	thousand	the	-82.9682200943362	big
-22	-12.334885056401717	shoulder	egg	-94.69737715924734	settle
54	-11.501134294200213	visit	number	84.26135833577288	strong
21	26.190641216798724	lone	particular	-41.35838105773828	law
73	-53.68589358515763	pound	lay	-50.660516595278374	other
-87	-36.92338158256625	fair	cell	38.46384677477141	ready
-15	70.32453597485443	cloud	heart	-71.7080576153669	row
-25	-72.07966858161822	fall	then	-21.758456413841458	each
